item_id	item_text	dimension	fit_mean	clarity_mean	fit_iqr	decision	reason
IT01	Sento il suo sostegno nelle cose che faccio	Healthy Relationship Indicators	4.333	4.889	1.0	Retain	fit_mean≥4 (4.33), IQR≤1 (1.00), clarity≥4 (4.89)
IT02	Mi incoraggia a provare nuove cose	Healthy Relationship Indicators	4.444	4.889	1.0	Retain	fit_mean≥4 (4.44), IQR≤1 (1.00), clarity≥4 (4.89)
IT03	Mi sento ascoltata e si mostra interessato quando ho qualcosa che voglio condividere	Healthy Relationship Indicators	4.889	4.889	0.0	Drop	fit_mean≥4 (4.89), IQR≤1 (0.00), clarity≥4 (4.89); pairwise redundancy ≥0.50 vs IT44
IT04	Capisce che ho bisogno anche di miei spazi personali e comprende che ci sono momenti in cui mi piace stare da sola o con persone diverse da lui (amici/amiche, familiari ecc.)	Healthy Relationship Indicators	5.0	4.889	0.0	Drop	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (4.89); pairwise redundancy ≥0.50 vs IT06
IT05	Mi fa sentire libera di fare le mie scelte su come gestire il mio tempo	Healthy Relationship Indicators	4.667	4.889	1.0	Drop	fit_mean≥4 (4.67), IQR≤1 (1.00), clarity≥4 (4.89); pairwise redundancy ≥0.50 vs IT06
IT06	Mi vuole bene per quella che sono e rispetta le mie scelte	Healthy Relationship Indicators	5.0	4.889	0.0	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (4.89)
IT07	Sento che possiamo confrontarci e anche litigare senza farci male	Healthy Relationship Indicators	4.778	4.667	0.0	Drop	fit_mean≥4 (4.78), IQR≤1 (0.00), clarity≥4 (4.67); pairwise redundancy ≥0.50 vs IT08
IT08	In sua compagnia mi sento a mio agio e al sicuro	Healthy Relationship Indicators	5.0	5.0	0.0	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (5.00)
IT09	I miei amici/amiche mi hanno fatto notare che non piace loro come si comporta con me	Impact & External Concern	4.222	4.667	0.0	Drop	fit_mean≥4 (4.22), IQR≤1 (0.00), clarity≥4 (4.67); pairwise redundancy ≥0.50 vs IT19
IT10	Parla male delle mie amici/amiche e dice che sono dei/delle “poco di buono”	Social Isolation & Jealousy	4.0	4.667	0.0	Retain	fit_mean≥4 (4.00), IQR≤1 (0.00), clarity≥4 (4.67)
IT11	Mi chiede di non vedere i miei amici/amiche	Social Isolation & Jealousy	5.0	5.0	0.0	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (5.00)
IT12	Dice che sono impegnata in troppe cose e che lo trascuro, vorrebbe che passassimo la maggior parte del tempo insieme	Coercive Control & Monitoring	3.917	4.167	0.0	Retain	fallback to majority recommendation
IT13	Mi sento giudicata rispetto alle cose che faccio e a come organizzo la mia vita	Emotional & Psychological Abuse	4.0	4.556	0.0	Drop	fit_mean≥4 (4.00), IQR≤1 (0.00), clarity≥4 (4.56); pairwise redundancy ≥0.50 vs IT16
IT14	Quando faccio qualcosa che a lui non va bene poi non mi parla per giorni	Emotional & Psychological Abuse	4.222	4.778	0.0	Retain	fit_mean≥4 (4.22), IQR≤1 (0.00), clarity≥4 (4.78)
