item_id	item_text	dimension	fit_mean	clarity_mean	fit_iqr	decision	reason
IT01	Sento il suo sostegno nelle cose che faccio	Supportive and Healthy Relationship Dynamics	5.0	5.0	0.0	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (5.00)
IT02	Mi incoraggia a provare nuove cose	Supportive and Healthy Relationship Dynamics	4.444	5.0	1.0	Drop	fit_mean≥4 (4.44), IQR≤1 (1.00), clarity≥4 (5.00); pairwise redundancy ≥0.50 vs IT01
IT03	Mi sento ascoltata e si mostra interessato quando ho qualcosa che voglio condividere.	Supportive and Healthy Relationship Dynamics	5.0	5.0	0.0	Drop	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (5.00); pairwise redundancy ≥0.50 vs IT01
IT04	Capisce che ho bisogno anche di miei spazi personali e comprende che ci sono momenti in cui mi piace stare da sola o con persone diverse da lui (amici, familiari ecc.)	Supportive and Healthy Relationship Dynamics	5.0	4.889	0.0	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (4.89)
IT05	Mi fa sentire libera di fare le mie scelte su come gestire il mio tempo	Supportive and Healthy Relationship Dynamics	4.667	4.889	1.0	Drop	fit_mean≥4 (4.67), IQR≤1 (1.00), clarity≥4 (4.89); pairwise redundancy ≥0.50 vs IT04
IT06	Mi sento al sicuro con lui perché so che mi conosce e mi vuole bene per quella che sono e rispetta le mie scelte	Supportive and Healthy Relationship Dynamics	5.0	4.889	0.0	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (4.89)
IT07	Sento che possiamo confrontarci e anche litigare senza farci male	Supportive and Healthy Relationship Dynamics	4.667	4.778	1.0	Retain	fit_mean≥4 (4.67), IQR≤1 (1.00), clarity≥4 (4.78)
IT08	In sua compagnia mi sento a mio agio e al sicuro	Supportive and Healthy Relationship Dynamics	4.889	5.0	0.0	Drop	fit_mean≥4 (4.89), IQR≤1 (0.00), clarity≥4 (5.00); pairwise redundancy ≥0.50 vs IT06
IT09	I miei amici mi hanno fatto notare che non piace loro come si comporta con me	Social Isolation and External Concerns	4.111	4.556	0.0	Retain	fit_mean≥4 (4.11), IQR≤1 (0.00), clarity≥4 (4.56); pairwise redundancy ≥0.50 vs IT18; undropped (strong) for coverage safeguard
IT10	Parla male delle mie amiche e dice che sono delle “poco di buono”. Mi chiede di non vederle	Controlling and Possessive Behaviors	4.444	4.667	1.0	Drop	fit_mean≥4 (4.44), IQR≤1 (1.00), clarity≥4 (4.67); pairwise redundancy ≥0.50 vs IT25
IT11	Dice che sono impegnata in troppe cose e che lo trascuro, vorrebbe che passassimo la maggior parte del tempo insieme	Controlling and Possessive Behaviors	4.111	4.333	0.0	Retain	fit_mean≥4 (4.11), IQR≤1 (0.00), clarity≥4 (4.33)
IT12	Mi sento giudicata rispetto alle cose che faccio e come organizzo la mia vita	Emotional and Psychological Abuse	4.111	4.333	0.0	Retain	fit_mean≥4 (4.11), IQR≤1 (0.00), clarity≥4 (4.33)
IT13	Quando faccio qualcosa che a lui non va bene poi non mi parla per giorni	Emotional and Psychological Abuse	4.111	4.444	0.0	Retain	fit_mean≥4 (4.11), IQR≤1 (0.00), clarity≥4 (4.44)
IT14	Sento che mi manda troppi messaggi o mi chiama spesso, a volte in modo insistente	Controlling and Possessive Behaviors	4.0	4.111	0.0	Drop	fit_mean≥4 (4.00), IQR≤1 (0.00), clarity≥4 (4.11); pairwise redundancy ≥0.50 vs IT22
IT15	Non mi fa sentire bene quando parla di come mi prendo cura di me stessa e del mio aspetto fisico	Emotional and Psychological Abuse	4.111	4.556	0.0	Retain	fit_mean≥4 (4.11), IQR≤1 (0.00), clarity≥4 (4.56)
IT16	A volte provo paura vicino a lui, non mi sento al sicuro	Fear, Anxiety, and Feeling Unsafe	5.0	4.889	0.0	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (4.89)
IT17	A volte sento disagio o non voglio fare qualcosa ma lo nascondo per paura che si arrabbi	Fear, Anxiety, and Feeling Unsafe	4.222	4.667	0.0	Retain	fit_mean≥4 (4.22), IQR≤1 (0.00), clarity≥4 (4.67)
IT18	Le mie amiche o la mia famiglia sono preoccupate per me	Social Isolation and External Concerns	4.444	4.667	1.0	Retain	fit_mean≥4 (4.44), IQR≤1 (1.00), clarity≥4 (4.67)
IT19	Pretende prove d'amore e dimostrazioni di fedeltà nei suoi confronti	Controlling and Possessive Behaviors	3.778	4.556	1.0	Retain	fallback to majority recommendation
IT20	Diventa estremamente geloso/ o possessivo/a	Controlling and Possessive Behaviors	4.889	4.889	0.0	Retain	fit_mean≥4 (4.89), IQR≤1 (0.00), clarity≥4 (4.89)
IT21	Mi accusa di flirtare o di tradirlo/a	Controlling and Possessive Behaviors	4.889	4.889	0.0	Drop	fit_mean≥4 (4.89), IQR≤1 (0.00), clarity≥4 (4.89); pairwise redundancy ≥0.50 vs IT20
IT22	Mi sento costantemente controllata, ho la sensazione che non si fidi di me e che voglia sapere sempre dove sono e co chi, me lo chiede continuamente	Controlling and Possessive Behaviors	4.778	4.444	0.0	Retain	fit_mean≥4 (4.78), IQR≤1 (0.00), clarity≥4 (4.44)
IT23	Non mi sento libera di vestirmi come voglio	Controlling and Possessive Behaviors	3.889	4.667	0.0	Retain	fallback to majority recommendation
IT24	Cerca di controllare ciò che faccio e con chi mi vedo	Controlling and Possessive Behaviors	5.0	4.778	0.0	Drop	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (4.78); pairwise redundancy ≥0.50 vs IT25
IT25	Non vuole che io veda la mia famiglia, le mie amiche o i miei amici. Mi dice che è lui adesso la mia famiglia, che loro cercano di separarci	Controlling and Possessive Behaviors	5.0	5.0	0.0	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (5.00)
IT26	Ha forti oscillazioni d'umore, il minuto prima si arrabbia e mi urla contro e quello successivo è dolce e si scusa	Emotional and Psychological Abuse	4.0	4.333	0.0	Retain	fit_mean≥4 (4.00), IQR≤1 (0.00), clarity≥4 (4.33)
IT27	In sua compagnia mi capita di sentirmi a disagio e ho la sensazione di dover stare attenta a ciò che dico o a ciò che faccio, come se dovessi “camminare sulle uova” per evitare sue reazioni negative	Fear, Anxiety, and Feeling Unsafe	4.889	4.889	0.0	Drop	fit_mean≥4 (4.89), IQR≤1 (0.00), clarity≥4 (4.89); pairwise redundancy ≥0.50 vs IT16
IT28	Mi butta giù, mi insulta o mi critica	Emotional and Psychological Abuse	5.0	4.778	0.0	Drop	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (4.78); pairwise redundancy ≥0.50 vs IT40
IT29	Mi fa sentire spesso sbagliata e mi dice che è colpa mia se sta male	Emotional and Psychological Abuse	4.889	4.667	0.0	Retain	fit_mean≥4 (4.89), IQR≤1 (0.00), clarity≥4 (4.67)
