item_id	dimension	fit_mean	clarity_mean	decision	reason	net_degree	net_neighbors	net_neighbor_ratios	net_max_overlap	net_drop_partner	net_drop_ratio	net_threshold	net_denom_mode
IT05	Coercive Control & Isolation	4.091	4.364	Retain	fit_mean≥4 (4.09), IQR≤1 (0.00), clarity≥4 (4.36)	0			0.0			0.5	max
IT06	Coercive Control & Isolation	4.455	4.545	Retain	fit_mean≥4 (4.45), IQR≤1 (1.00), clarity≥4 (4.55)	0			0.0			0.5	max
IT11	Coercive Control & Isolation	4.364	4.909	Retain	fit_mean≥4 (4.36), IQR≤1 (1.00), clarity≥4 (4.91)	0			0.0			0.5	max
IT12	Coercive Control & Isolation	4.545	4.909	Drop	fit_mean≥4 (4.55), IQR≤1 (1.00), clarity≥4 (4.91); pairwise redundancy ≥0.50 vs IT27	1	IT27	IT27:1.82	1.818			0.5	max
IT13	Coercive Control & Isolation	4.273	4.818	Retain	fit_mean≥4 (4.27), IQR≤1 (0.50), clarity≥4 (4.82)	0			0.0			0.5	max
IT16	Coercive Control & Isolation	4.364	5.0	Drop	fit_mean≥4 (4.36), IQR≤1 (1.00), clarity≥4 (5.00); pairwise redundancy ≥0.50 vs IT24	1	IT24	IT24:0.82	0.818			0.5	max
IT21	Coercive Control & Isolation	4.636	4.909	Retain	fit_mean≥4 (4.64), IQR≤1 (1.00), clarity≥4 (4.91)	0			0.0			0.5	max
IT23	Coercive Control & Isolation	4.727	5.0	Retain	fit_mean≥4 (4.73), IQR≤1 (0.50), clarity≥4 (5.00)	0			0.0			0.5	max
IT24	Coercive Control & Isolation	5.0	5.0	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (5.00)	2	IT16,IT26	IT16:0.82|IT26:1.64	1.636			0.5	max
IT25	Coercive Control & Isolation	4.727	5.0	Retain	fit_mean≥4 (4.73), IQR≤1 (0.50), clarity≥4 (5.00)	0			0.0			0.5	max
IT26	Coercive Control & Isolation	4.818	4.909	Drop	fit_mean≥4 (4.82), IQR≤1 (0.00), clarity≥4 (4.91); pairwise redundancy ≥0.50 vs IT24	1	IT24	IT24:1.64	1.636			0.5	max
IT27	Coercive Control & Isolation	5.0	5.0	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (5.00)	1	IT12	IT12:1.82	1.818			0.5	max
IT01	Emotional & Verbal Abuse	2.583	4.667	Drop	fit_mean=2.58 < 3.5	0			0.0			0.5	max
IT14	Emotional & Verbal Abuse	3.5	4.333	Retain	fallback to majority recommendation	0			0.0			0.5	max
IT17	Emotional & Verbal Abuse	3.917	4.667	Retain	fallback to majority recommendation	1	IT30	IT30:0.58	0.583			0.5	max
IT28	Emotional & Verbal Abuse	4.0	4.636	Retain	fit_mean≥4 (4.00), IQR≤1 (0.00), clarity≥4 (4.64)	0			0.0			0.5	max
