item_id	dimension	fit_mean	clarity_mean	decision	reason	net_degree	net_neighbors	net_neighbor_ratios	net_max_overlap	net_drop_partner	net_drop_ratio	net_threshold	net_denom_mode
IT10	Coercive Control & Social Isolation	4.273	4.909	Retain	fit_mean≥4 (4.27), IQR≤1 (0.50), clarity≥4 (4.91)	0			0.0			0.5	max
IT11	Coercive Control & Social Isolation	4.909	5.0	Drop	fit_mean≥4 (4.91), IQR≤1 (0.00), clarity≥4 (5.00); pairwise redundancy ≥0.50 vs IT26	1	IT26	IT26:1.27	1.273			0.5	max
IT12	Coercive Control & Social Isolation	3.818	4.364	Retain	fallback to majority recommendation	0			0.0			0.5	max
IT15	Coercive Control & Social Isolation	3.909	4.182	Revise	fallback to majority recommendation	1	IT23	IT23:0.73	0.727			0.5	max
IT20	Coercive Control & Social Isolation	3.545	4.0	Drop	fallback to majority recommendation	0			0.0			0.5	max
IT21	Coercive Control & Social Isolation	3.909	4.727	Drop	fallback to majority recommendation; pairwise redundancy ≥0.50 vs IT22	1	IT22	IT22:0.64	0.636			0.5	max
IT22	Coercive Control & Social Isolation	4.273	5.0	Retain	fit_mean≥4 (4.27), IQR≤1 (0.50), clarity≥4 (5.00)	1	IT21	IT21:0.64	0.636			0.5	max
IT23	Coercive Control & Social Isolation	4.727	4.455	Drop	fit_mean≥4 (4.73), IQR≤1 (0.50), clarity≥4 (4.45); pairwise redundancy ≥0.50 vs IT25	2	IT15,IT25	IT15:0.73|IT25:1.00	1.0			0.5	max
IT24	Coercive Control & Social Isolation	4.182	4.727	Retain	fit_mean≥4 (4.18), IQR≤1 (0.00), clarity≥4 (4.73)	0			0.0			0.5	max
IT25	Coercive Control & Social Isolation	4.909	4.909	Retain	fit_mean≥4 (4.91), IQR≤1 (0.00), clarity≥4 (4.91)	1	IT23	IT23:1.00	1.0			0.5	max
IT26	Coercive Control & Social Isolation	5.0	5.0	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (5.00)	1	IT11	IT11:1.27	1.273			0.5	max
IT45	Economic Abuse	4.909	5.0	Retain	fit_mean≥4 (4.91), IQR≤1 (0.00), clarity≥4 (5.00)	1	IT47	IT47:1.27	1.273			0.5	max
IT46	Economic Abuse	5.0	5.0	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (5.00)	0			0.0			0.5	max
IT47	Economic Abuse	4.455	4.909	Drop	fit_mean≥4 (4.45), IQR≤1 (1.00), clarity≥4 (4.91); pairwise redundancy ≥0.50 vs IT45	1	IT45	IT45:1.27	1.273			0.5	max
IT48	Economic Abuse	5.0	5.0	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (5.00)	0			0.0			0.5	max
IT09	External Warning Signs & Social Validation	4.636	5.0	Drop	fit_mean≥4 (4.64), IQR≤1 (1.00), clarity≥4 (5.00); pairwise redundancy ≥0.50 vs IT19	1	IT19	IT19:1.27	1.273			0.5	max
IT19	External Warning Signs & Social Validation	4.727	5.0	Retain	fit_mean≥4 (4.73), IQR≤1 (0.50), clarity≥4 (5.00)	1	IT09	IT09:1.27	1.273			0.5	max
IT01	Healthy Relationship Dynamics	4.636	4.909	Retain	fit_mean≥4 (4.64), IQR≤1 (1.00), clarity≥4 (4.91)	1	IT02	IT02:1.00	1.0			0.5	max
IT02	Healthy Relationship Dynamics	4.455	5.0	Drop	fit_mean≥4 (4.45), IQR≤1 (1.00), clarity≥4 (5.00); pairwise redundancy ≥0.50 vs IT01	1	IT01	IT01:1.00	1.0			0.5	max
IT03	Healthy Relationship Dynamics	4.818	5.0	Retain	fit_mean≥4 (4.82), IQR≤1 (0.00), clarity≥4 (5.00)	1	IT44	IT44:0.82	0.818			0.5	max
IT04	Healthy Relationship Dynamics	5.0	4.364	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (4.36)	1	IT05	IT05:1.18	1.182			0.5	max
IT05	Healthy Relationship Dynamics	4.727	4.818	Drop	fit_mean≥4 (4.73), IQR≤1 (0.50), clarity≥4 (4.82); pairwise redundancy ≥0.50 vs IT04	1	IT04	IT04:1.18	1.182			0.5	max
IT06	Healthy Relationship Dynamics	4.909	4.636	Retain	fit_mean≥4 (4.91), IQR≤1 (0.00), clarity≥4 (4.64)	0			0.0			0.5	max
