item_id	item_text	dimension	fit_mean	clarity_mean	fit_iqr	decision	reason
IT01	Non sento di avere il suo sostegno nelle cose che faccio	Emotional & Verbal Abuse	2.583	4.667	1.0	Drop	fit_mean=2.58 < 3.5
IT02	Non mi incoraggia a provare nuove cose	Emotional Neglect & Lack of Support	4.727	4.909	0.5	Retain	fit_mean≥4 (4.73), IQR≤1 (0.50), clarity≥4 (4.91)
IT03	Non mi sento ascoltata	Emotional Neglect & Lack of Support	4.909	5.0	0.0	Retain	fit_mean≥4 (4.91), IQR≤1 (0.00), clarity≥4 (5.00)
IT05	Non capisce che ho bisogno anche di miei spazi personali e non comprende che ci sono momenti in cui mi piace stare da sola o con persone diverse da lui (amici/amiche, familiari ecc.)	Coercive Control & Isolation	4.091	4.364	0.0	Retain	fit_mean≥4 (4.09), IQR≤1 (0.00), clarity≥4 (4.36)
IT06	Non mi fa sentire libera di fare le mie scelte su come gestire il mio tempo	Coercive Control & Isolation	4.455	4.545	1.0	Retain	fit_mean≥4 (4.45), IQR≤1 (1.00), clarity≥4 (4.55)
IT09	In sua compagnia non mi sento a mio agio e al sicuro	Fear & Hyper‑vigilance	4.636	4.636	1.0	Drop	fit_mean≥4 (4.64), IQR≤1 (1.00), clarity≥4 (4.64); pairwise redundancy ≥0.50 vs IT18
IT10	I miei amici/amiche mi hanno fatto notare che non piace loro come si comporta con me	Fear & Hyper‑vigilance	3.273	4.727	1.5	Drop	fit_mean=3.27 < 3.5
IT11	Parla male delle mie amici/amiche e dice che sono dei/delle “poco di buono”	Coercive Control & Isolation	4.364	4.909	1.0	Retain	fit_mean≥4 (4.36), IQR≤1 (1.00), clarity≥4 (4.91)
IT12	Mi chiede di non vedere i miei amici/amiche	Coercive Control & Isolation	4.545	4.909	1.0	Drop	fit_mean≥4 (4.55), IQR≤1 (1.00), clarity≥4 (4.91); pairwise redundancy ≥0.50 vs IT27
IT13	Dice che sono impegnata in troppe cose e che lo trascuro, vorrebbe che passassimo la maggior parte del tempo insieme	Coercive Control & Isolation	4.273	4.818	0.5	Retain	fit_mean≥4 (4.27), IQR≤1 (0.50), clarity≥4 (4.82)
IT14	Mi sento giudicata rispetto alle cose che faccio e a come organizzo la mia vita	Emotional & Verbal Abuse	3.5	4.333	1.0	Retain	fallback to majority recommendation
